descSucursal,descProyecto,Actividad,tipoRestriccion,fechaRegistro
BOGOTA ,BURDEOS CIUDAD LA SALLE,SOTANO CIM Descabece de pilotes T1,Contratos,2024-04-18 00:00:00
BOGOTA ,LORCA,E1 Red Ppal Excavacion red de alcantarillado,Contratos,2024-04-03 00:00:00
BOGOTA ,LORCA,T2 Conformacion terraza,Contratos,2025-02-12 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,"ZS LOCALES - Inst. de Carpinteria metalica, aluminio y madera",Contratos,2024-06-11 00:00:00
BOGOTA ,LINZ E1,T1 FRISO aptos interno,Materiales,2024-06-27 00:00:00
BOGOTA ,EL CASTELL IBERIA RESERVADO,T01 Nomenclatura vivienda,Contratos,2024-07-29 00:00:00
BOGOTA ,LORCA,T1 Suministro Puerta cortafuego,Contratos,2024-04-10 00:00:00
BOGOTA ,GALLET CIUDAD LA SALLE,SOT PQDERO Pasamanos en puntos fijos,Diseños,2024-03-15 00:00:00
BOGOTA ,METROPOLI 30,SOT T1-T2 Puntos hidraulicos,Contratos,2025-09-09 00:00:00
BOGOTA ,PASEO SAN RAFAEL,T1 Sumn ventaneria de fachada ppal serie Alcoba Ppal,Contratos,2024-04-23 00:00:00
BOGOTA ,LINZ E1,T1 SUPERBOARD MUROS pto fijo Perfiles,Contratos no Categorizables,2024-07-10 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T1 ACABADOS CUBIERTA TRANSITABLE,Diseños,2024-10-07 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,Z.SOCIAL 2 - Placa Cubierta,Contratos,2025-03-13 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T2 INST. PISO PUNTO FIJO ESCALERA 1,Contratos,2024-03-19 00:00:00
BOGOTA ,PASEO SAN RAFAEL,TQ Inst sistema de bombeo agua potable,Contratos,2024-08-07 00:00:00
BOGOTA ,LINZ E1,TQ Impermeabilizacion tanque,Contratos,2024-07-17 00:00:00
BOGOTA ,LORCA,TQ Lavado y desinfección,Contratos,2024-04-10 00:00:00
BOGOTA ,LINZ E1,PORTERIA Localizacion y replanteo,Materiales,2024-06-27 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,CERRAMIENTO - Carpinteria Metalica - rejas cerramiento,Contratos,2024-07-09 00:00:00
BOGOTA ,LINZ E1,T1 aptos Mamposteria interna,Materiales,2024-06-05 00:00:00
BOGOTA ,LORCA,T2 CIM Excavacion comun,Contratos,2025-05-28 00:00:00
BOGOTA ,PASEO SAN RAFAEL,PORTERIA Carp de Aluminio fachada,Contratos,2024-08-07 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T1 INST. PUERTAS Y CERRADURAS BAÑO PISO 1 A 15,Contratos no Categorizables,2024-11-14 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,ZVERDE - Andenes - sendero,Contratos,2024-06-11 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,Z.SOC 1 C.SQUASH - Inst. Puertas y Carpinteria en aluminio,Contratos,2025-03-13 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,SOTANO ZB - AMARRE VIGAS DE CIMENTACIÓN,Contratos,2024-06-25 00:00:00
BOGOTA ,LINZ E1,PQDERO CIM Fundida cimentacion superficial vigas,Mano de obra,2024-07-17 00:00:00
BOGOTA ,METROPOLI 30,T1 Inst elec pto fijo aparatos sistema deteccion incendios,Contratos,2025-09-09 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,SOTANO ZC - AMARRE VIGAS DE CIMENTACIÓN,Contratos,2024-06-25 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T 1-2-3 Tendido red de gas,Contratos no Categorizables,2024-11-14 00:00:00
BOGOTA ,LINZ E1,E1 CERRAMIENTO PERIMETRAL Excavacion cimentacion,Diseños,2024-06-19 00:00:00
BOGOTA ,LINZ E1,T1 aptos Enchape baños,Materiales,2024-06-27 00:00:00
BOGOTA ,LOIRA CIUDAD LA SALLE,T2 PINTURA FOSO ASCENSOR,Contratos,2024-06-11 00:00:00
