descSucursal,descProyecto,Actividad,tipoRestriccion,fechaRegistro
BOGOTA ,LA PEÑA,G1 T12-T7 Aparatos electricos,Materiales,2026-02-04 16:11:18
BOGOTA ,BURDEOS CIUDAD LA SALLE,E1 Excavacion red de conduccion,Contratos,2024-08-15 00:00:00
BOGOTA ,METROPOLI 30,"T1 EST Columna, muro y placa P1-P20",Materiales,2026-02-11 12:05:32
BOGOTA ,EL CAMPO,T7-T11 Mortero e impermeabilizacion de cubierta,Materiales,2026-02-04 15:22:27
BOGOTA ,LORCA,T2 CIM Fundida cimentación superficial vigas,Materiales,2026-02-04 12:31:07
BOGOTA ,BURDEOS CIUDAD LA SALLE,T1 ZONA COMERCIAL COMUNAL Mortero,Contratos,2024-08-15 00:00:00
BOGOTA ,LORCA,T2 CIM Fundida cimentación superficial vigas,Materiales,2026-02-04 12:31:07
BOGOTA ,EL CAMPO,PORTERIA Cubierta acabados,Mano de obra,2026-02-11 14:27:24
BOGOTA ,METROPOLI 30,"T1 EST Columna, muro y placa P1-P20",Materiales,2026-02-11 12:11:24
BOGOTA ,LA CABRERA,Sendero peatonal E2 T20 A 15,Otra,2026-02-26 10:20:37
BOGOTA ,LA PEÑA,G3 T18-T13 Ducterias electricas,Materiales,2026-02-04 16:03:29
BOGOTA ,LA PEÑA,G3 T18-T13 Estructura muro-placa,Materiales,2026-02-04 15:51:09
BOGOTA ,EL CAMPO,Red de baja tension de transformador a torres T15-T17,Materiales,2026-02-11 14:01:03
BOGOTA ,METROPOLI 30,"T1 EST Columna, muro y placa P1-P20",Materiales,2026-02-11 12:07:09
BOGOTA ,LA CABRERA,Urb zonas verdes,Contratos,2026-02-26 10:34:56
BOGOTA ,EL CAMPO,Red de baja tension de transformador a torres T1-T3,Materiales,2026-01-14 10:51:54
BOGOTA ,EL CASTELL IBERIA RESERVADO,T1 Anden y sardinel franja de circulacion peatonal externa,Contratos,2024-07-29 00:00:00
BOGOTA ,METROPOLI 30,SOTANO Armada y fundida muro de contencion T1-T2,Contratos,2025-12-16 14:48:53
BOGOTA ,IZOLA ZENTRAL-CITIZZEN,T2 EST Muro placa P1-P21,Equipos,2026-03-04 15:01:03
BOGOTA ,LORCA,T2 Desagues cajas de inspeccion,Materiales,2026-02-04 12:51:00
BOGOTA ,SAN MATEO - LA QUINTA,T9 Espejos baños,Contratos no Categorizables,2024-10-08 00:00:00
BOGOTA ,LORCA,T2 Desagues cajas de inspeccion,Materiales,2026-02-04 12:51:00
BOGOTA ,SAN MATEO - LA QUINTA,PORTERIA Instalacion puertas de madera,Contratos,2024-08-13 00:00:00
BOGOTA ,METROPOLI 30,"T2 EST Columna, muro y placa P1-P20",Materiales,2026-02-11 12:43:53
BOGOTA ,EL CASTELL IBERIA RESERVADO,T04 Llegada de ascensor a obra,Contratos,2024-07-29 00:00:00
BOGOTA ,EL CASTELL IBERIA RESERVADO,E1(T4) CERRAMIENTO PERIMETRAL Excavacion cimentacion,Contratos,2024-07-29 00:00:00
BOGOTA ,METROPOLI 30,"T2 EST Columna, muro y placa P1-P20",Materiales,2026-02-11 12:49:14
BOGOTA ,IZOLA ZENTRAL-CITIZZEN,T2 aptos Mamposteria interna,Equipos,2026-03-04 15:01:43
BOGOTA ,VERDANIA BOSQUES DE GUAYMARAL,SOT Prolongacion instalaciones electricas,Contratos,2025-12-11 11:22:40
BOGOTA ,BURDEOS CIUDAD LA SALLE,TQ Prueba sistema de bombeo agua potable,Contratos,2024-08-15 00:00:00
BOGOTA ,EL CASTELL IBERIA RESERVADO,T04 CIELO RASO aptos Perfiles drywall,Contratos,2024-07-29 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,"T3 INST. ESTUFA, CALENTADOR Y HORNO PISO 1-16",Contratos,2024-08-12 00:00:00
BOGOTA ,METROPOLI 30,T2 Inst Puerta metalica de acceso,Contratos,2025-09-09 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,T2 INSTALACION DIVISIONES BAÑO PISO 1-16,Contratos,2025-03-13 00:00:00
BOGOTA ,EL CASTELL IBERIA RESERVADO,T01 Meson de cocina en acero integrado,Contratos,2024-07-29 00:00:00
BOGOTA ,BURDEOS CIUDAD LA SALLE,POOL HOUSE Inst puerta ventana,Diseños,2024-08-15 00:00:00
BOGOTA ,BURDEOS CIUDAD LA SALLE,T2 ZONA COMERCIAL Pintura interna 1er mano,Diseños,2024-08-15 00:00:00
BOGOTA ,BURDEOS CIUDAD LA SALLE,T2 ZONA COMUNAL Mobiliario,Contratos,2025-03-11 00:00:00
BOGOTA ,ZURI - ZENTRAL,T2 CIM Fundida cimentacion superficial vigas (Incluye Dados),Diseños,2025-02-05 00:00:00
BOGOTA ,BURDEOS CIUDAD LA SALLE,SOT Puntos sanitarios,Contratos,2024-10-28 00:00:00
BOGOTA ,LA CABRERA,E2 T20 A 15 ESTRUCTURA Muro placa P1-P6,Materiales,2025-02-14 00:00:00
BOGOTA ,LA PEÑA,G1 T12-T7 Enchape Baño,Materiales,2025-02-11 00:00:00
BOGOTA ,LA PALMA,"Inst Tuberia de alcantarillado pluvial (Exc, Inst y Relleno) T17-19 Y Suds",Materiales,2025-02-15 00:00:00
BOGOTA ,LA CABRERA,E1 T24 A 21 Enchape cocina,Materiales,2025-02-14 00:00:00
BOGOTA ,LA PALMA,G2 T9-10-11-12-13 Y 14 INSTALACIONES HIDRAULICAS,Materiales,2025-02-15 00:00:00
BOGOTA ,LA CABRERA,E1 T24 A 21 Enchape baño,Materiales,2025-02-14 00:00:00
BOGOTA ,VERDANIA BOSQUES DE GUAYMARAL,TOP DWN Descabece pantalla,Contratos,2025-02-06 00:00:00
BOGOTA ,LORCA,T1 aptos Piso laminado + Guardaescoba,Contratos,2024-04-10 00:00:00
BOGOTA ,ZURI - ZENTRAL,TANQUE 1 Excavacion y perfilada muro de contencion,Mano de obra,2025-01-22 00:00:00
BOGOTA ,GALLET CIUDAD LA SALLE,TQ Inst sistema de bombeo RCI,Equipos,2025-01-30 00:00:00
BOGOTA ,URBANISMO TRES QUEBRADAS,4-3 eje 11 K0+300 A K0+430 instalación de red eléctrica,Contratos no Categorizables,2024-12-11 00:00:00
BOGOTA ,LA CRUZ,G3 T7-8 Y 9 INST DE PUERTAS BAÑOS,Materiales,2025-02-06 00:00:00
BOGOTA ,PASEO SAN RAFAEL,T1 Suministro Marco Metalico Puerta baño,Contratos,2024-08-07 00:00:00
BOGOTA ,LORCA,PQDERO Friso interno,Materiales,2025-03-05 00:00:00
BOGOTA ,VERDANIA BOSQUES DE GUAYMARAL,Armado y fundida muros y col SOT 2 F1(A),Equipos,2025-02-20 00:00:00
BOGOTA ,LA CABRERA,URB ZONAS VERDES,Otra,2025-03-21 00:00:00
BOGOTA ,MONTPELLIER CIUDAD LA SALLE,T1 Siembra de prados y arboles,Contratos,2025-01-14 00:00:00
BOGOTA ,LA PEÑA,PQDERO Mamposteria interna,Diseños,2025-04-02 00:00:00
BOGOTA ,ZURI - ZENTRAL,T2 Inst elec aptos Fundida,Contratos,2025-01-22 00:00:00
BOGOTA ,LA PALMA,EQUIPOS SUBESTACION ELECTRICA,Otra,2025-02-15 00:00:00
BOGOTA ,MONTPELLIER CIUDAD LA SALLE,T3 ESTRUCTURA MUROS EN DRYWALL PISO 1-24,Contratos,2025-01-07 00:00:00
BOGOTA ,EL CAMPO,T17-T16 Drenaje cimentacion,Otra,2025-04-07 00:00:00
BOGOTA ,URBANISMO TRES QUEBRADAS,5-6 Eje 18 K0+15 A K0+230 Construccion de pozos pluviales,Materiales,2025-03-26 00:00:00
BOGOTA ,LORCA,E1 CERRAMIENTO PERIMETRAL Inst reja metalica,Contratos no Categorizables,2025-03-05 00:00:00
BOGOTA ,CHAMONIX CIUDAD LA SALLE,E1 Inst tuberia de conduccion (porteria a tanque de agua),Contratos,2025-03-27 00:00:00
BOGOTA ,LA CRUZ,G1 T1-2 Y 3 INST DE PUERTAS BAÑOS,Contratos,2024-06-13 00:00:00
BOGOTA ,MONTPELLIER CIUDAD LA SALLE,Z.SOC SUITES P2 - Pisos y guardaescobas,Materiales,2025-01-14 00:00:00
BOGOTA ,LA PEÑA,G3 T18-T13 Estructura muro-placa,Seguridad y Espacio,2025-03-18 00:00:00
BOGOTA ,EL CAMPO,Tanque filtro perimetral,Materiales,2025-04-28 00:00:00
BOGOTA ,PEÑAZUL EL POBLADO,T5 ESTRUCTURA DRYWALL APTOS,Contratos,2025-02-03 00:00:00
BOGOTA ,SAN MATEO - LA QUINTA,PQDERO Impermeabilizacion foso ascensor,Contratos no Categorizables,2024-10-08 00:00:00
BOGOTA ,LA PEÑA,G1 T12-T7 Enchape cocina,Materiales,2025-03-18 00:00:00
BOGOTA ,LA PEÑA,Tanque Inst sistema de bombeo agua potable,Contratos no Categorizables,2024-07-12 00:00:00
BOGOTA ,MONTPELLIER CIUDAD LA SALLE,Z.SOC TEATR P1 - Dotacion General Equipos,Equipos,2025-01-14 00:00:00
BOGOTA ,ZURI - ZENTRAL,CTO BASURAS cimentacion,Contratos,2025-01-29 00:00:00
BOGOTA ,LA PEÑA,PQDERO Mamposteria interna,Equipos,2025-05-28 00:00:00
BOGOTA ,LA PEÑA,G3 T18-T13 Ducterias electricas,Materiales,2025-05-21 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T3 ARMADO Y FUNDIDA MURO-PLACA P1-P12,Materiales,2025-05-29 00:00:00
BOGOTA ,LA PEÑA,PQDERO Mamposteria fachada,Materiales,2025-06-18 00:00:00
BOGOTA ,LA PEÑA,G2 T20-T19 Y T6-T1 Mamposteria de interna,Seguridad y Espacio,2025-06-18 00:00:00
BOGOTA ,PASEO SAN RAFAEL,T3 Llegada de ascensor a obra,Equipos,2024-08-21 00:00:00
BOGOTA ,EL CAMPO,Tanque filtro perimetral,Materiales,2025-05-12 00:00:00
BOGOTA ,CHAMONIX CIUDAD LA SALLE,T1 aptos Mamposteria interna,Contratos,2025-03-27 00:00:00
BOGOTA ,CHAMONIX CIUDAD LA SALLE,T1 Inst elec aptos puntos en fundida,Contratos,2025-03-27 00:00:00
BOGOTA ,LA PEÑA,G2 T20-T19 Y T6-T1 Mamposteria de interna,Equipos,2025-07-03 00:00:00
BOGOTA ,PASEO SAN RAFAEL,T3 aptos Estuco muro,Contratos,2024-11-12 00:00:00
BOGOTA ,MONTPELLIER CIUDAD LA SALLE,T3 PISO LAMINADO INTERIOR PISO 1-24,Contratos,2025-01-14 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T3 RED SANITARIA PUNTOS PLACA (ARAÑAS),Materiales,2025-05-29 00:00:00
BOGOTA ,LORCA,T2 RED HID Montante,Contratos,2025-05-28 00:00:00
BOGOTA ,EL CAMPO,T1-T3 pto fijo Mortero,Materiales,2025-07-17 00:00:00
BOGOTA ,LA PEÑA,G2 T20-T19 Y T6-T1 Mamposteria de interna,Seguridad y Espacio,2025-06-18 00:00:00
BOGOTA ,METROPOLI 30,SOTANO Armada y fundida muro de contencion T1-T2,Contratos,2025-06-03 00:00:00
BOGOTA ,LORCA,T2 CIM Pilotes diametro,Contratos,2025-02-12 00:00:00
BOGOTA ,ZURI - ZENTRAL,T1 aptos Mamposteria interna,Mano de obra,2025-08-06 00:00:00
BOGOTA ,CHAMONIX CIUDAD LA SALLE,T1 Izaje torre grua,Contratos,2025-03-25 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,T1 IMPERMEABILIZACIÓN CUBIERTA,Contratos,2024-08-12 00:00:00
BOGOTA ,LA PEÑA,G1 T12-T7 Meson- Estufa,Materiales,2025-08-06 00:00:00
BOGOTA ,LA TERRA ALSACIA RESERVADO,T2 INST. MUEBLES COCINAyROPAS PISO 1 a 18,Diseños,2025-08-14 00:00:00
BOGOTA ,PEÑAZUL EL POBLADO,T5 ESTRUCTURA DRYWALL PUNTOS FIJOS,Materiales,2025-08-25 00:00:00
BOGOTA ,LA PEÑA,G2 T20-T19 Y T6-T1 Lavadero,Otra,2025-08-27 00:00:00
BOGOTA ,LA TERRA ALSACIA RESERVADO,T2 RELLENO POR CAPAS RECEBO + MATERIAL DEL SITIO,Equipos,2025-08-28 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,T2 ESTRUCTURA CIELO RASO PISO 1-16,Contratos,2024-08-12 00:00:00
BOGOTA ,VERDANIA BOSQUES DE GUAYMARAL,T1 Antepiso,Materiales,2025-08-28 00:00:00
BOGOTA ,BURDEOS CIUDAD LA SALLE,T1 CIELO RASO aptos Perfiles drywall,Diseños,2024-08-15 00:00:00
BOGOTA ,LORCA,CLUB HOUSE 2 Pintura interna 1er Mano,Contratos,2025-09-10 00:00:00
BOGOTA ,EL CAMPO,PQDERO Red electrica prov foso ascensor,Contratos,2025-05-12 00:00:00
BOGOTA ,PASEO SAN RAFAEL,T3 Red gas Modulo de Empotrar,Otra,2025-09-30 00:00:00
BOGOTA ,PASEO SAN RAFAEL,PQDERO Inst aparatos electricos,Materiales,2025-09-30 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,P.SOTANOS - Instalacion tuberia red de gas,Contratos,2025-03-13 00:00:00
BOGOTA ,EL CAMPO,T1-T3 Meson-Estufa,Materiales,2025-10-07 00:00:00
BOGOTA ,LA PEÑA,G2 T20-T19 Y T6-T1 Lavado de fachada,Otra,2025-08-27 00:00:00
BOGOTA ,LA TERRA ALSACIA RESERVADO,T2 MUROSyPLACAS PISOS 2 a 18,Otra,2025-10-09 00:00:00
BOGOTA ,LA CABRERA,E1 T37 A 35 Y 28 A 25 Superboard aptos,Otra,2025-10-12 00:00:00
BOGOTA ,SAN MATEO - LA QUINTA,PQDERO Aseo,Contratos,2025-09-02 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,"T3 INST. ESTUFA, CALENTADOR Y HORNO PISO 1-16",Diseños,2024-08-12 00:00:00
BOGOTA ,LA SCALA,T1 CIM Excavacion de vigas,Contratos,2025-07-30 00:00:00
BOGOTA ,SAN MATEO - LA QUINTA,T9 Mamposteria de fachada ppal,Contratos,2025-11-04 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,Z.SOCIAL 1 - Inst. carpinteria metalica,Contratos,2025-03-13 00:00:00
BOGOTA ,LA PEÑA,PQDERO Inst ventaneria aluminio,Otra,2025-11-06 00:00:00
BOGOTA ,LA PEÑA,PQDERO Friso fachada,Equipos,2025-11-19 00:00:00
BOGOTA ,METROPOLI 30,SOT T1-T2 CIM Pilotes plataforma de acceso y zonas comunes,Equipos,2025-10-01 00:00:00
BOGOTA ,ZURI - ZENTRAL,T1 Inst de puertas baños,Materiales,2025-06-25 00:00:00
BOGOTA ,IZOLA ZENTRAL-CITIZZEN,PQDERO Excavacion a maquina Z2 (Plz),Materiales,2025-12-04 16:18:53
BOGOTA ,CHAMONIX CIUDAD LA SALLE,T3 RED HID aptos puntos y mezcladores en estructura,Contratos,2025-03-27 00:00:00
BOGOTA ,METROPOLI 30,SOT T1-T2 CIM Pilotes Preexcavados,Materiales,2025-09-09 00:00:00
BOGOTA ,LA PEÑA,G3 T18-T13 RED HID aptos mamposteria,Materiales,2025-05-21 00:00:00
BOGOTA ,EL CASTELL IBERIA RESERVADO,CLUB HOUSE 01 Instalacion muebles de madera,Contratos,2024-07-29 00:00:00
BOGOTA ,SAN MATEO - LA QUINTA,POOL HOUSE Aseo,Contratos,2025-10-07 00:00:00
BOGOTA ,SAN SEBASTIAN LA QUINTA,PQDERO CIM Pilotes,Materiales,2026-01-07 14:54:12
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,T4 INSTALACION DIVISIONES BAÑO PISO 1-16,Materiales,2025-12-03 20:57:13
BOGOTA ,LA PEÑA,G1 T12-T7 Alambrado electrico,Materiales,2025-12-03 10:44:12
BOGOTA ,LA PEÑA,PQDERO Aseo,Materiales,2026-01-21 11:07:01
BOGOTA ,SAN SEBASTIAN LA QUINTA,T1 Localizacion y replanteo,Otra,2026-01-22 10:02:36
BOGOTA ,LORCA,T2 CIM Fundida cimentación superficial vigas,Materiales,2026-02-04 12:31:07
BOGOTA ,EL CAMPO,T1-T3 Graniplast fachada,Materiales,2026-01-14 12:21:45
BOGOTA ,BURDEOS CIUDAD LA SALLE,E1 Red Ppal Excavacion red de alcantarillado,Contratos,2024-08-15 00:00:00
BOGOTA ,METROPOLI 30,"T1 EST Columna, muro y placa P1-P20",Materiales,2026-02-11 12:07:09
BOGOTA ,EL CAMPO,Tanque Lavado y desinfeccion,Contratos,2026-02-11 14:21:58
BOGOTA ,LORCA,T2 CIM Fundida cimentación superficial vigas,Materiales,2026-02-04 12:31:07
BOGOTA ,CHAMONIX CIUDAD LA SALLE,T1 pto fijo Carraplast placa,Contratos,2025-03-27 00:00:00
BOGOTA ,BURDEOS CIUDAD LA SALLE,TQ Inst sistema de bombeo agua potable,Contratos,2024-08-15 00:00:00
BOGOTA ,SAN SEBASTIAN LA QUINTA,PQDERO CIM NIV -1 Fundida cimentacion superficial vigas,Materiales,2026-01-29 14:28:59
BOGOTA ,EL CAMPO,T12-T14 Mamposteria de fachada e interna,Materiales,2026-02-11 14:07:12
BOGOTA ,METROPOLI 30,"T1 EST Columna, muro y placa P1-P20",Materiales,2026-02-11 12:11:24
BOGOTA ,LA PEÑA,G1 T12-T7 Alambrado electrico,Materiales,2025-12-17 14:49:45
BOGOTA ,LA PEÑA,G3 T18-T13 Estructura muro-placa,Materiales,2026-02-04 16:10:21
BOGOTA ,LA PEÑA,G3 T18-T13 Estructura muro-placa,Materiales,2026-02-04 16:10:21
BOGOTA ,METROPOLI 30,"T1 EST Columna, muro y placa P1-P20",Materiales,2026-02-11 12:07:09
BOGOTA ,EL CASTELL IBERIA RESERVADO,CLUB HOUSE 01 Inst de mesones,Contratos,2024-07-29 00:00:00
BOGOTA ,LA PEÑA,G3 T18-T13 Ducterias electricas,Materiales,2026-02-18 09:46:58
BOGOTA ,METROPOLI 30,SOTANO Armada y fundida muro de contencion T1-T2,Contratos,2025-12-16 14:48:53
BOGOTA ,LORCA,T2 RED HID Montante,Materiales,2026-02-04 13:14:58
BOGOTA ,METROPOLI 30,"T1 EST Columna, muro y placa P1-P20",Materiales,2026-02-17 14:39:44
BOGOTA ,SAN SEBASTIAN LA QUINTA,PQDERO CIM NIV -1 Fundida cimentacion superficial vigas,Contratos,2026-01-07 14:47:55
BOGOTA ,LA PEÑA,G2 T20-T19 Y T6-T1 Inst elec aptos Prolongaciones en mamposteria,Materiales,2026-03-04 10:10:32
BOGOTA ,IZOLA ZENTRAL-CITIZZEN,PQDERO EST Armado y fundida muros Z1 Sotano 2,Equipos,2026-03-04 14:59:47
BOGOTA ,CHAMONIX CIUDAD LA SALLE,Tanque 1 Lavado y desinfeccion,Contratos,2025-03-27 00:00:00
BOGOTA ,METROPOLI 30,"T2 EST Columna, muro y placa P1-P20",Materiales,2026-02-11 12:43:53
BOGOTA ,EL CASTELL IBERIA RESERVADO,CLUB HOUSE 01 Llegada de ascensor a obra,Contratos,2024-07-29 00:00:00
BOGOTA ,EL CASTELL IBERIA RESERVADO,T04 Lavada fachada ppal,Contratos,2024-07-29 00:00:00
BOGOTA ,LORCA,T2 EST Muro placa P1-P23,Materiales,2026-02-04 13:08:21
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,Z.SOC 1 SAUNA - Prueba y puesta en marcha equipo sauna,Materiales,2026-01-20 15:37:00
BOGOTA ,CHAMONIX CIUDAD LA SALLE,E1 Anden y sardinel franja de circulacion peatonal,Contratos,2025-03-27 00:00:00
BOGOTA ,SAN SEBASTIAN LA QUINTA,T1 Conformacion terraza,Materiales,2026-02-04 14:19:02
BOGOTA ,BURDEOS CIUDAD LA SALLE,TQ Inst sistema de bombeo agua potable,Diseños,2024-08-15 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,T3 INST. CITOFONOS PISO 1-16,Contratos,2024-08-12 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,"Z.SOC 1 PISC - Instalacion de aparatos, accesorios, espejos baños",Contratos,2025-03-13 00:00:00
BOGOTA ,IZOLA ZENTRAL-CITIZZEN,PQDERO Prolongacion instalaciones electricas,Contratos,2026-03-04 14:40:25
BOGOTA ,LORCA,T2 EST Muro placa P1-P23,Contratos,2026-02-04 12:54:23
BOGOTA ,BURDEOS CIUDAD LA SALLE,T1 Nomenclatura vivienda,Contratos,2024-08-15 00:00:00
BOGOTA ,IZOLA ZENTRAL-CITIZZEN,T2 Inst ventaneria de fachada ppal,Contratos,2026-03-04 14:45:13
BOGOTA ,BURDEOS CIUDAD LA SALLE,PISCINAS Enchapes,Diseños,2024-08-15 00:00:00
BOGOTA ,IZOLA ZENTRAL-CITIZZEN,Red de media tension,Contratos,2026-03-04 14:37:27
BOGOTA ,EL CASTELL IBERIA RESERVADO,CLUB HOUSE 02 Puertas Vidrio,Contratos,2024-07-29 00:00:00
BOGOTA ,ZURI - ZENTRAL,T2 CIM Solado torre,Diseños,2025-01-29 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,T1 BARANDA PUNTO FIJO ESCALERA 1,Contratos,2024-07-29 00:00:00
BOGOTA ,LA CABRERA,E1 T24 A 21 Aparatos sanitarios,Materiales,2025-02-14 00:00:00
BOGOTA ,LA PEÑA,G1 T12-T7 Enchape cocina,Materiales,2025-02-11 00:00:00
BOGOTA ,LA PALMA,PORTERIA - ENCHAPE,Materiales,2025-02-15 00:00:00
BOGOTA ,LA CABRERA,E1 T24 A 21 Enchape cocina,Materiales,2025-02-14 00:00:00
BOGOTA ,LA PALMA,G3 T8-1 Instalaciones Hidraulicas,Materiales,2025-02-15 00:00:00
BOGOTA ,URBANISMO TRES QUEBRADAS,5-6 Eje 18 K0+15 A K0+230 Movimiento de tierra - Relleno,Contratos,2025-01-16 00:00:00
BOGOTA ,LA CRUZ,G3 T7-8 Y 9 ENCHAPE BAÑO,Materiales,2025-02-06 00:00:00
BOGOTA ,LA CABRERA,E1 T34 A 29 ENCHAPE BAÑO,Materiales,2025-02-14 00:00:00
BOGOTA ,VERDANIA BOSQUES DE GUAYMARAL,Viga cinturon F1(A),Contratos,2025-02-06 00:00:00
BOGOTA ,EL CASTELL IBERIA RESERVADO,T01 Suministro ventaneria fachada ppal,Contratos,2024-07-26 00:00:00
BOGOTA ,LA PEÑA,G1 T12-T7 Enchape Baño,Materiales,2025-02-25 00:00:00
BOGOTA ,URBANISMO TRES QUEBRADAS,"5-6 Eje 18 K0+15 A K0+230 Instalación de red de Acueducto (Exc, inst, Relleno)",Materiales,2025-03-05 00:00:00
BOGOTA ,LA CRUZ,URB Replanteo y siembra de zonas verdes,Materiales,2025-02-17 00:00:00
BOGOTA ,LA PEÑA,G3 T18-T13 Estructura muro-placa,Seguridad y Espacio,2025-03-18 00:00:00
BOGOTA ,LORCA,PQDERO Red CI,Materiales,2025-03-05 00:00:00
BOGOTA ,SAN MATEO - LA QUINTA,PORTERIA Inst de mesones,Contratos,2024-08-13 00:00:00
BOGOTA ,GALLET CIUDAD LA SALLE,T3 Cub Mortero,Mano de obra,2025-03-10 00:00:00
BOGOTA ,LA CRUZ,G3 T7-8 Y 9 GRANIPLAST FACHADA,Materiales,2025-03-27 00:00:00
BOGOTA ,SAN MATEO - LA QUINTA,T1 Llegada de ascensor a obra,Contratos no Categorizables,2024-10-08 00:00:00
BOGOTA ,BURDEOS CIUDAD LA SALLE,E1 Excavacion red de conduccion,Diseños,2024-08-15 00:00:00
BOGOTA ,ZURI - ZENTRAL,T2 RED HID aptos red,Contratos,2025-01-22 00:00:00
BOGOTA ,EL CASTELL IBERIA RESERVADO,PQDERO Aseo,Contratos,2024-07-29 00:00:00
BOGOTA ,MONTPELLIER CIUDAD LA SALLE,T3 ESTUCO Y PINTURA 1ERA MANO PISO 1-24,Contratos,2024-11-26 00:00:00
BOGOTA ,EL CAMPO,T17-T16 Instalaciones hidraulicas,Otra,2025-04-07 00:00:00
BOGOTA ,LORCA,PORTERIA Aparatos sanitarios,Materiales,2025-03-05 00:00:00
BOGOTA ,SAN LUCAS LA QUINTA,CH LAVADO E IMPERM FACHADA,Contratos,2024-12-03 00:00:00
BOGOTA ,LA PEÑA,G4 T29-T25 Estructura muro-placa,Seguridad y Espacio,2025-03-18 00:00:00
BOGOTA ,EL CAMPO,URB MOVIMIENTO DE TIERRA - T12-T14,Contratos,2024-12-11 00:00:00
BOGOTA ,SAN MATEO - LA QUINTA,T1 Mesones cocina y baño,Contratos,2024-08-13 00:00:00
BOGOTA ,URBANISMO TRES QUEBRADAS,5-6 Eje 18 K0+15 A K0+230 Instalación de subbase estabilizada,Contratos,2025-01-16 00:00:00
BOGOTA ,LA PEÑA,G1 T12-T7 RED HID aptos mamposteria,Materiales,2025-05-14 00:00:00
BOGOTA ,MONTPELLIER CIUDAD LA SALLE,Z.SOC TEATR P1 - Dotacion General Equipos,Equipos,2025-01-14 00:00:00
BOGOTA ,ZURI - ZENTRAL,SOTANO TANQUE 1 CIM Descabece de pilotes,Contratos,2025-02-12 00:00:00
BOGOTA ,LA PEÑA,PQDERO Pisos,Materiales,2025-06-04 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,"T4 INST. ESTUFA, CALENTADOR Y HORNO PISO 1-16",Diseños,2024-08-12 00:00:00
BOGOTA ,LA PEÑA,G3 T18-T13 RED HID aptos estructura,Materiales,2025-05-21 00:00:00
BOGOTA ,PEÑON DE ALICANTE,T3 ARMADO Y FUNDIDA MURO-PLACA P1-P12,Materiales,2025-05-29 00:00:00
BOGOTA ,LA PEÑA,PQDERO Mamposteria interna,Equipos,2025-06-18 00:00:00
BOGOTA ,LA PEÑA,G2 T20-T19 Y T6-T1 Mamposteria de interna,Seguridad y Espacio,2025-06-18 00:00:00
BOGOTA ,METROPOLI 30,T1 Excavacion a maquina,Contratos,2025-06-03 00:00:00
BOGOTA ,LA PEÑA,PQDERO EST Escaleras,Materiales,2025-06-11 00:00:00
BOGOTA ,VERDANIA BOSQUES DE GUAYMARAL,Fundida vigas y placa cim profunda F1(A),Contratos,2025-02-20 00:00:00
BOGOTA ,LA PEÑA,G2 T20-T19 Y T6-T1 RED HID aptos mamposteria,Materiales,2025-06-18 00:00:00
BOGOTA ,LORCA,PORTERIA Carpinteria de Aluminio fachada,Contratos,2024-04-10 00:00:00
BOGOTA ,CHAMONIX CIUDAD LA SALLE,T2 RED HID aptos puntos y mezcladores en estructura,Contratos,2025-03-27 00:00:00
BOGOTA ,VERDANIA BOSQUES DE GUAYMARAL,T1 EST Escaleras pto fijo,Equipos,2025-07-10 00:00:00
BOGOTA ,MONTPELLIER CIUDAD LA SALLE,T1 PISO LAMINADO INTERIOR PISO 1-24,Contratos,2025-01-07 00:00:00
BOGOTA ,EL CAMPO,Tanque Armado y fundida cimentacion,Materiales,2025-07-17 00:00:00
BOGOTA ,LA CABRERA,E1 T24 A 21 Emboquille de apartamentos,Contratos,2025-06-27 00:00:00
BOGOTA ,LA PEÑA,G2 T20-T19 Y T6-T1 RED HID aptos mamposteria,Materiales,2025-06-18 00:00:00
BOGOTA ,LA CABRERA,URB ZONAS VERDES,Contratos,2024-07-26 00:00:00
BOGOTA ,SAINT MICHEL CIUDAD LA SALLE,T1 INST. PUERTAS Y CERRADURAS INTERIORES PISO 1-16,Contratos,2024-08-12 00:00:00
BOGOTA ,MONTPELLIER CIUDAD LA SALLE,T1 VENTANERIA ALUMINIO FACHADA LATERAL 2 PISOS 1-24,Materiales,2025-06-17 00:00:00
BOGOTA ,ZURI - ZENTRAL,T1 pto fijo Carraplast placa,Contratos,2025-01-22 00:00:00
